company_name,contact_email,website,location,decision_maker,phone,estimated_annual_trips,tier,status,notes
Tokyo Wanderlust Tours,info@tokyowanderlust.com,https://tokyowanderlust.com,"San Francisco, CA",Sarah Chen,(415) 555-0101,120,Premium,prospect,"Specializes in luxury Japan tours, high AOV"
Sakura Travel Agency,contact@sakuratravel.net,https://sakuratravel.net,"Los Angeles, CA",Michael Rodriguez,(310) 555-0102,85,Standard,prospect,"Family-focused Japan packages"
Rising Sun Adventures,hello@risingsun.travel,https://risingsun.travel,"Seattle, WA",Emily Thompson,(206) 555-0103,150,Premium,prospect,"Custom Japan itineraries for high-net-worth clients"
Cherry Blossom Journeys,info@cherryblossom.tours,https://cherryblossom.tours,"New York, NY",David Kim,(212) 555-0104,200,Enterprise,prospect,"Large volume, seasonal focus"
Nippon Dream Vacations,bookings@nippond.dream,https://nippond.dream,"Chicago, IL",Jessica Martinez,(312) 555-0105,95,Standard,prospect,"Mid-market Japan specialist"
Kyoto Gateway Travel,info@kyotogateway.com,https://kyotogateway.com,"Portland, OR",Amanda Lee,(503) 555-0106,110,Premium,prospect,"Cultural immersion focus"
Mount Fuji Expeditions,hello@mtfujiexp.com,https://mtfujiexp.com,"Denver, CO",Robert Taylor,(720) 555-0107,75,Standard,prospect,"Adventure travel specialist"
East Meets West Tours,contact@eastmeetswest.tours,https://eastmeetswest.tours,"Boston, MA",Jennifer Wong,(617) 555-0108,130,Premium,prospect,"Upscale cultural tours"
Japan First Travel,sales@japanfirsttravel.com,https://japanfirsttravel.com,"Miami, FL",Carlos Sanchez,(305) 555-0109,65,Standard,prospect,"Growing agency, tech-forward"
Bamboo Path Adventures,info@bamboopath.travel,https://bamboopath.travel,"Austin, TX",Lauren Smith,(512) 555-0110,90,Standard,prospect,"Millennial-focused agency"
Imperial Japan Tours,bookings@imperialjapan.net,https://imperialjapan.net,"Washington, DC",Patricia Johnson,(202) 555-0111,180,Enterprise,prospect,"Government and corporate groups"
Zen Journey Planners,hello@zenjourney.com,https://zenjourney.com,"San Diego, CA",Mark Anderson,(619) 555-0112,100,Premium,prospect,"Wellness and spiritual travel"
Tokyo Bay Travel,info@tokyobaytravel.com,https://tokyobaytravel.com,"Houston, TX",Angela Davis,(713) 555-0113,70,Standard,prospect,"Budget to mid-range tours"
Samurai Spirit Tours,contact@samuraispirit.tours,https://samuraispirit.tours,"Philadelphia, PA",James Wilson,(215) 555-0114,85,Standard,prospect,"History and culture focus"
Hokkaido Explorer,sales@hokkaidoexplorer.net,https://hokkaidoexplorer.net,"Minneapolis, MN",Michelle Brown,(612) 555-0115,60,Standard,prospect,"Winter sports and nature"
Nara Escapes,info@naraescapes.com,https://naraescapes.com,"Phoenix, AZ",Daniel Martinez,(602) 555-0116,55,Standard,prospect,"Small boutique agency"
Osaka Dreamers,hello@osakadreamers.travel,https://osakadreamers.travel,"Atlanta, GA",Rachel Green,(404) 555-0117,95,Premium,prospect,"Food and culture tours"
Shinkansen Travel Co,bookings@shinkansen.travel,https://shinkansen.travel,"Detroit, MI",Christopher Lee,(313) 555-0118,110,Premium,prospect,"Rail travel specialists"
Mt. Takao Adventures,contact@mttakao.tours,https://mttakao.tours,"Salt Lake City, UT",Samantha White,(801) 555-0119,45,Standard,prospect,"Outdoor and hiking focus"
Geisha Gateway,info@geishagateway.com,https://geishagateway.com,"Nashville, TN",Brandon Hall,(615) 555-0120,80,Standard,prospect,"Entertainment and nightlife tours"
